0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
822473, 21207, 30067, 26601, 822892, 32043, 38788, 43783, 823312, 23244, 30362, 40053
828473, 21204, 30067, 26604, 828893, 32041, 38789, 43786, 829312, 23239, 30363, 40057
834473, 21203, 30068, 26599, 834893, 32046, 38788, 43787, 835312, 23241, 30365, 40057
840473, 21205, 30068, 26600, 840893, 32042, 38788, 43787, 841312, 23242, 30362, 40057
846473, 21207, 30067, 26601, 846893, 32044, 38787, 43784, 847312, 23240, 30364, 40057
852472, 21207, 30070, 26605, 852892, 32043, 38783, 43785, 853311, 23243, 30360, 40059
858472, 21203, 30069, 26609, 858892, 32044, 38784, 43787, 859311, 23239, 30364, 40057
864472, 21203, 30066, 26601, 864892, 32044, 38786, 43786, 865312, 23240, 30363, 40057
870472, 21203, 30071, 26603, 870892, 32045, 38786, 43788, 871311, 23240, 30367, 40055
876472, 21201, 30068, 26607, 876892, 32041, 38788, 43789, 877311, 23238, 30360, 40058
882472, 21200, 30069, 26606, 882891, 32046, 38787, 43788, 883311, 23243, 30363, 40063
888472, 21202, 30069, 26607, 888892, 32046, 38789, 43787, 889312, 23242, 30366, 40059
894472, 21198, 30069, 26609, 894892, 32043, 38788, 43787, 895311, 23236, 30362, 40057
900473, 21201, 30068, 26610, 900892, 32045, 38788, 43789, 901312, 23241, 30366, 40059
906472, 21203, 30069, 26604, 906892, 32043, 38789, 43788, 907311, 23242, 30367, 40061
912472, 21202, 30070, 26605, 912892, 32047, 38786, 43786, 913311, 23243, 30363, 40060
918471, 21205, 30070, 26608, 918891, 32045, 38786, 43789, 919310, 23245, 30361, 40060
924471, 21201, 30070, 26609, 924890, 32044, 38787, 43790, 925310, 23240, 30362, 40056
930471, 21200, 30068, 26608, 930891, 32045, 38786, 43789, 931311, 23243, 30362, 40059
936471, 21202, 30068, 26611, 936891, 32047, 38786, 43789, 937310, 23241, 30363, 40060
942471, 21202, 30069, 26610, 942890, 32045, 38783, 43784, 943310, 23238, 30364, 40060
948471, 21204, 30067, 26609, 948891, 32043, 38786, 43788, 949310, 23239, 30365, 40058
954471, 21203, 30068, 26606, 954890, 32044, 38789, 43789, 955310, 23240, 30363, 40057
960471, 21201, 30070, 26604, 960891, 32040, 38788, 43787, 961310, 23236, 30366, 40057
966472, 21204, 30071, 26609, 966891, 32045, 38792, 43787, 967311, 23240, 30362, 40061
972471, 21204, 30069, 26604, 972891, 32044, 38788, 43785, 973311, 23242, 30365, 40061
